! generator: yaml2ck
! cantera-version: 3.1.0
! date: Wed, 15 Jul 2026 12:04:11 -0500
! input-files: ['gas']
!
! Luo Z., Som S., Sarathy S.M., Plomer M., Pitz W.J., Longman D.E., Lu T.F., "Development and Validation of an
! n-Dodecane Skeletal Mechanism for Diesel Spray-Combustion Applications," Combust. Theory Model., DOI:
! 10.1080/13647830.2013.872807, 2014.

nc4h9coch2         2   534.323     5.625     0.000     0.000     0.000 ! flamemaster
c4h7ooh1-4         2   523.200     5.664     1.700     0.000     1.000 ! 1c5h11oh wjp
c4h7o1-4           2   476.000     5.778     2.600     0.000     1.000 ! nc4h9cho wjp
nc12h26            1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25-2           1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25-3           1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25-5           1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25-6           1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c9h19-1            1   658.900     6.490     0.000    17.360     1.000 ! calc Mani 2010
c8h17-1            1   612.840     6.270     0.000    15.900     1.000 ! calc Mani 2010
c12h24-5           1   787.050     6.930     0.000    22.520     1.000 ! calc Mani 2010
c10h20-1           1   698.200     6.590     0.000    18.820     1.000 ! calc Mani 2010
c9h18-1            1   654.060     6.350     0.000    16.970     1.000 ! calc Mani 2010
c8h16-1            1   608.980     6.110     0.000    15.120     1.000 ! calc
c12h25o2-2         1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25o2-5         1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12h25o2-6         1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c8h17o2-1          1   612.840     6.270     0.000    15.900     1.000 ! calc Mani 2010
c12ooh2-4          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh5-3          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh5-7          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh6-4          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh2-4o2        1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh5-3o2        1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh5-7o2        1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ooh6-4o2        1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12o2-4            1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12o4-6            1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12o5-7            1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ket2-4          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ket5-3          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ket5-7          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ket6-4          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c12ket6-8          1   789.160     7.060     0.000    22.750     1.000 ! calc Mani 2010
c8h17coch2         1   612.840     6.270     0.000    15.900     1.000 ! calc Mani 2010
c7h15coch2         2   534.500     6.240     2.580    15.000     1.000 ! same as nc6h13co
c6h13coch2         2   534.500     6.240     2.580    13.500     1.000 ! same as nc6h13cho
c5h11coch2         2   498.600     6.009     2.000     0.000     1.000 ! c2h5coc3h7-n wjp
nc8h17cho          1   612.840     6.270     0.000    15.900     1.000 ! calc Mani 2010
nc6h13cho          2   534.500     6.240     2.580    13.500     1.000 ! calc
nc8h17co           1   612.840     6.270     0.000    15.900     1.000 ! calc Mani 2010
c9h17              1   654.060     6.350     0.000    16.970     1.000 ! calc Mani 2010
c8h15              1   608.980     6.110     0.000    15.120     1.000 ! same as c8h16-1
